pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
66463,NGC7041,319.1349,-48.3636,350.7185,-43.6815,230.3988,18.6095,-3.0,11.90,8.28,10.90,2036,1986,26.06,11,66549,66549,7,350.4686,-43.9602,230.5649,18.3173,6.87,11.47,2166,2115,2,27.44,8,198,279,0.536,0.442,13.190,13.498,-15.74,-19.03,8.32
66471,PGC066471,319.2203,24.2041,72.7084,-17.1162,316.5390,55.7021,-1.5,14.34,10.47,10.37,2882,3166,0.00,0,66471,66471,1,72.7084,-17.1162,316.5390,55.7021,10.47,10.37,2882,3166,0,0.00,0,77,0,0.209,,11.961,,17.26,-16.36,34.87
66517,ESO235-083,319.4692,-48.3133,350.7484,-43.9083,230.6194,18.5189,-2.0,14.30,11.28,9.70,2026,1976,0.00,0,66549,66549,7,350.4686,-43.9602,230.5649,18.3173,6.87,11.47,2166,2115,2,27.44,8,198,279,0.536,0.442,13.190,13.498,-16.40,-19.97,8.66
66526,ESO235-085,319.5675,-48.5375,350.4279,-43.9434,230.5346,18.2996,0.4,13.70,10.32,10.08,2164,2113,0.00,0,66549,66549,7,350.4686,-43.9602,230.5649,18.3173,6.87,11.47,2166,2115,2,27.44,8,198,279,0.536,0.442,13.190,13.498,-16.56,-20.11,8.61
66530,IC5096,319.5899,-63.7607,330.5347,-40.1146,221.5326,5.8652,3.9,12.11,8.56,11.12,3144,3013,0.00,0,66530,69713,6,330.6947,-39.6764,221.1327,6.0861,7.52,11.54,3236,3104,0,0.00,0,211,78,0.571,0.557,13.272,12.486,-30.73,-27.22,4.22
66545,ESO145-004,319.7126,-57.6402,338.2089,-42.1342,225.1141,10.8568,5.1,12.96,11.33,9.96,3022,2922,0.00,0,66545,66545,1,338.2089,-42.1342,225.1141,10.8568,11.33,9.96,3022,2922,0,0.00,0,59,0,0.159,,11.605,,-27.00,-27.11,7.34
66548,PGC066548,319.7454,25.4309,73.9969,-16.6557,318.5541,55.0529,1.0,14.16,11.20,9.26,936,1223,14.00,25,66548,66003,1,73.9969,-16.6557,318.5541,55.0529,11.20,9.26,936,1223,1,14.00,25,41,0,0.111,,11.143,,6.01,-5.31,11.48
66549,NGC7049,319.7464,-48.5629,350.3705,-44.0573,230.6190,18.2088,-1.9,11.40,7.32,11.29,2285,2234,29.92,13,66549,66549,7,350.4686,-43.9602,230.5649,18.3173,6.87,11.47,2166,2115,2,27.44,8,198,279,0.536,0.442,13.190,13.498,-18.03,-21.97,9.35
66559,PGC066559,319.9290,-7.5531,44.0532,-36.2815,266.0576,47.2850,8.0,14.76,10.88,10.13,2726,2893,0.00,0,66559,66559,1,44.0532,-36.2815,266.0576,47.2850,10.88,10.13,2726,2893,0,0.00,0,65,0,0.177,,11.744,,-1.80,-26.10,28.34
66566,NGC7051,319.9640,-8.7830,42.7190,-36.8865,264.5863,46.5748,0.9,12.96,9.51,10.64,2598,2760,0.00,0,66566,66566,2,42.6808,-36.8717,264.5395,46.5859,9.41,10.67,2580,2741,0,0.00,0,98,19,0.266,0.265,12.279,10.945,-2.37,-25.03,26.56
